"bundesland","kategorie","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Baden-Württemberg","Kälber bis einschließlich 8 Monate",137293,153992,144921,137411,156765,166787,172552,174413,185786,192368,197457,213903,199119,194977,203093,212330,214533,218779,224653,227471,219248,215504,211903,315808,305282,296344,293508,297053,293952,291503,291979,288272,288992,291245,297063,270846,271256,255555,245868,239444,236492,215742,209085,206973,209979,207009,203590,193900,178700,190126,179700,184597,173700,169966,152900,155200,153100,153079,159120,204220,199259,197336,195375,197030,198698,189428,189819,182329,183422,183182,179063
"Baden-Württemberg","Jungrinder über 8 Monate bis 1 Jahr, männlich",48532,59291,68493,61214,63360,73211,84845,88431,92963,110335,122731,147871,150058,135875,140809,156527,163619,162011,173589,186353,188585,184358,190196,162747,164076,167793,170192,171257,175317,170242,168982,165146,161355,160851,166925,157077,153286,142620,134962,124116,127194,119395,107586,100805,100021,88235,89414,83400,83300,83996,71800,78275,74200,71085,63300,61000,62600,62924,56584,37052,36375,35125,35549,35552,35204,33704,33854,31844,31292,33075,31018
"Baden-Württemberg","Jungrinder über 8 Monate bis 1 Jahr, weiblich",192671,201943,215128,206245,204390,211118,220297,217860,217692,222924,219782,216622,213737,201837,203372,211606,218829,217681,217925,213518,205449,194098,199481,169156,168644,170496,173762,173713,176690,176076,176760,179461,174034,182607,178970,168928,172188,166735,160902,159543,159063,151758,148500,142829,147389,144936,146936,140900,134200,133392,125400,123742,113600,108654,101700,104200,100000,99538,89686,60592,60021,59225,59600,59620,61162,61024,61936,58817,58377,58356,56678
"Baden-Württemberg","Rinder 1 bis unter 2 Jahre, männlich",42229,46652,50875,54853,47521,55046,62525,70609,68130,76080,91255,109398,116414,117261,105587,130544,151484,150929,150594,171666,185098,180799,186898,183983,179684,181744,182198,190065,200666,198974,193257,186065,185203,176926,186288,194155,180542,180295,170232,162861,149986,139856,128656,122647,118258,118419,106668,98200,93500,95903,88800,90207,89300,82562,80300,71800,72500,72056,76374,76931,72439,69919,67749,70372,69721,68739,65157,66941,63409,63981,66331
"Baden-Württemberg","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57414,60691,53054,51880,50747,52839,53123,52262,47798,48705,45954,50440,51041,52210,58111,50445,48734,50473,51923,44324,39666,35166,38368,37065,36000,35900,34332,30500,36248,31000,29143,24200,27300,25600,6620,13483,13598,16515,17568,17749,17503,17774,18429,18889,19867,19943,21898,20198
"Baden-Württemberg","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127266,127079,135267,137536,144964,147331,151135,149709,156679,158296,160245,162663,159738,159125,156247,157857,161032,154097,149968,150061,150377,155440,160782,159393,159500,158000,138684,149900,131910,138600,133792,135500,131800,130500,144139,150574,154275,149757,145827,145502,147569,150178,150847,146853,146097,140577,138411,138875
"Baden-Württemberg","Rinder 2 Jahre und älter, Bullen und Ochsen",69528,61623,57800,54558,48229,43238,41501,39695,33779,32030,31879,32701,31140,29090,24892,25602,30756,25619,23915,23371,24186,22495,21314,27558,25897,22296,21260,22051,22245,23826,22702,21716,21010,21528,20033,19404,19778,20337,17439,17065,16179,14549,12780,13093,13455,14161,13480,12200,11900,10952,19800,10596,10700,8467,8500,8800,7300,6849,8694,8943,9183,8000,6967,7514,7427,7337,8111,8199,7887,7686,8010
"Baden-Württemberg","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4891,5118,4387,4314,4313,4998,5268,4759,4450,4721,5067,4846,NA,5246,6584,5535,5989,6061,5628,4127,4040,3815,4734,4266,4500,5000,4709,4500,4753,3900,3689,3200,3600,3300,744,2374,2459,3447,3409,3134,3099,3331,3403,3498,3796,3946,3948,3529
"Baden-Württemberg","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68379,72803,75159,74304,78756,78125,81904,80449,78521,81549,83029,68440,71393,69424,67347,70286,71462,70202,66234,64168,63752,65815,67124,69819,68000,70200,62486,64300,60754,62000,64972,61200,59400,56000,61650,63243,64173,63976,60637,58933,60016,60979,60781,59116,58815,56684,53936,52637
"Baden-Württemberg","Rinder 2 Jahre und älter, Milchkühe",875416,885488,873640,874899,872093,862456,862716,859766,864170,873190,875024,878977,866711,849130,832612,827992,828046,830911,820692,798866,746739,718123,715263,707397,699607,697949,694100,695735,695011,691992,688148,678026,683422,694302,677208,641441,656969,625556,612129,599833,573744,542952,518057,509422,503341,498463,490321,465700,447400,443141,429100,418225,410000,398290,385400,385300,375800,362212,364958,358136,353099,347355,340416,342635,349144,NA,343720,341494,334117,327931,325288
"Baden-Württemberg","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2465,2293,7642,7895,7193,7998,7339,8661,9136,9769,11224,10369,10813,11618,NA,14282,12915,13970,17099,21222,23494,35097,40353,45662,46340,51327,57200,54500,62799,61900,65323,58400,63219,59000,58400,57500,59249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baden-Württemberg","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",6414,6253,8343,8093,7941,8170,9207,10469,8153,8707,7938,7503,8453,8006,7832,8959,9433,11729,12308,13988,13149,10596,10291,16039,15064,15756,12758,14043,16362,16960,16748,15946,15143,17066,16152,14078,16612,15865,16981,17824,19249,15955,12756,12814,12264,11823,9698,7700,11200,8790,8300,7036,5800,4471,4500,3600,3400,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baden-Württemberg","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63082,64228,63398,64387,64865,66185,62163,NA,60820,58427,56919,56753,56861
"Bayern","Kälber bis einschließlich 8 Monate",337177,371339,410847,405301,444642,483482,505830,486200,527307,564142,563022,605877,573022,567989,592552,621951,616889,588527,523690,498784,479785,470631,477447,710184,720558,716530,697213,757471,770848,764892,769232,763698,771560,809725,816433,817562,784357,776698,729022,706956,701852,660328,634523,637014,632977,614904,623497,596000,564300,619647,611200,637770,582500,565074,555600,549000,528600,524418,518977,672628,662797,649895,651698,647689,646705,629287,631659,613808,605389,601192,575937
"Bayern","Jungrinder über 8 Monate bis 1 Jahr, männlich",145995,159099,169301,154535,162059,171584,189594,203293,190204,221728,246473,287657,311977,273333,284660,313025,335502,326384,367086,406622,411964,414712,431271,359774,369890,392240,389995,417046,441010,437052,433652,451214,430323,444001,458813,460541,445526,433544,427756,403600,406495,383485,366296,342849,333718,315101,305637,296600,288400,282855,271800,241684,225100,220394,204000,215000,192500,195078,192381,129385,120509,118209,117237,115510,111648,114716,111692,111078,109426,105139,105501
"Bayern","Jungrinder über 8 Monate bis 1 Jahr, weiblich",359561,367513,372361,370840,370180,369342,384325,408144,402981,412551,403707,392654,392896,370058,383815,397578,419350,423610,448610,462283,452211,445574,466808,406799,408159,420056,430245,433983,454062,456385,459672,475046,470108,490743,494714,501584,501376,498356,485731,481713,481901,486580,442343,428276,436575,424333,432820,425000,404600,413774,398300,327943,310000,297757,299200,303600,297900,294121,301465,209006,199569,199357,199257,197594,199256,199324,198891,195274,191636,186356,178886
"Bayern","Rinder 1 bis unter 2 Jahre, männlich",135741,139141,136189,136935,120936,127931,139077,157333,139162,149033,174636,208784,226738,230059,194229,243079,284620,273894,290652,336981,362914,361264,382248,363398,365770,372900,367898,405631,434793,439556,432428,410995,420111,420538,438261,482071,446108,438310,445345,415133,417341,375732,372286,343866,338421,325207,316905,315300,299300,308040,303900,326517,314400,288988,277400,254400,259200,253396,251603,241972,228007,217550,214034,214956,210064,206508,205174,204837,202328,202579,198893
"Bayern","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49463,53814,51993,47310,69516,69988,69339,69853,79536,69681,74785,87264,106105,108159,112553,92737,108832,95435,125279,90954,87356,73877,80382,74626,71900,79500,77435,76700,81920,83300,77134,65600,66600,67000,66241,54127,54184,61603,63848,62787,61428,61109,63441,65516,68239,69992,76740,74836
"Bayern","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377195,405001,411495,426109,437487,452069,477107,474975,478415,496649,502274,507333,508270,508410,539830,524806,560542,529532,522741,506025,500098,510352,508677,524056,512100,510300,516393,514700,538688,540200,510916,504700,509200,505600,501028,509349,520473,502743,486805,482541,488344,484673,485836,475045,468828,456654,439680,439573
"Bayern","Rinder 2 Jahre und älter, Bullen und Ochsen",231447,218906,203372,179104,152256,129566,115447,101811,76828,64479,56367,55091,50034,39738,36464,39872,42666,38243,36253,37888,40058,33790,33367,39558,35558,39626,35949,36804,35228,34936,31571,30421,29164,32721,30541,37492,30790,35454,29866,38470,29269,34543,23867,25034,21477,21645,19917,24000,25300,16187,26800,37225,28900,22870,21600,17000,13500,14467,12494,13041,13994,13092,12340,12637,12894,12781,13458,14125,14627,14825,15251
"Bayern","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9059,10177,8346,7935,7435,8529,8448,9369,8979,8560,9895,9702,13034,12139,14580,16858,16685,17788,18927,17084,19419,13008,15696,14266,17200,20600,12202,11800,25347,21200,22731,19900,21400,20900,22161,9916,9779,13928,13849,12632,12010,12810,13040,13274,13985,14921,14946,13288
"Bayern","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202554,219159,231180,230833,215744,217477,233379,241033,231917,249875,244725,243912,239976,259820,248191,258322,267880,265016,254224,251601,252818,251996,255257,259537,256400,267300,243327,240900,352960,308400,320744,298600,280900,271100,255917,226641,224162,225807,212825,207325,202509,204405,201006,193727,188817,184372,174439,173980
"Bayern","Rinder 2 Jahre und älter, Milchkühe",1727158,1756542,1771031,1797987,1806058,1796766,1800271,1802634,1770665,1792058,1840434,1909568,1958229,1961113,1960361,1956512,1959033,1970733,1990829,1994799,1928896,1901081,1913667,1931216,1930281,1936085,1921055,1947680,1983430,1984700,1986311,1968970,1992719,2047898,2027629,2013103,1999513,1908467,1890244,1844211,1809397,1728925,1640037,1606023,1594176,1566679,1558581,1513400,1474400,1453879,1416000,1401594,1384600,1326612,1291700,1273700,1232100,1229398,1267196,1257499,1243767,1235456,1219350,1218112,1216166,1208192,1198397,1185307,1154373,1128174,1119195
"Bayern","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155,2227,2018,2484,2306,2589,5356,1249,2913,2288,2015,2287,2157,2293,3676,2971,NA,4901,NA,18935,18090,43744,48558,60232,66600,65778,67500,64900,83302,86300,83999,72300,74214,68200,65700,71200,65819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayern","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",11507,12602,18710,17652,15977,15382,17389,23409,20280,18201,15966,12308,13750,15238,14653,13744,15049,16130,14489,22116,22549,15266,14748,20153,24884,22914,18156,24890,28263,31014,32094,24959,25710,27791,30950,36162,31292,36285,34194,38238,41311,42257,32059,35497,29703,34174,29530,30600,32200,22869,18100,28661,25000,36399,25800,30400,30100,22576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayern","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84538,81826,77572,74238,72405,72044,71891,71226,71824,69964,69860,68951,68472
"Berlin","Kälber bis einschließlich 8 Monate",NA,NA,110,182,182,270,270,257,257,291,291,311,311,327,327,252,252,214,214,192,192,168,168,145,163,121,121,124,124,99,104,104,67,67,96,96,101,101,99,99,512,512,109,109,127,127,NA,NA,NA,56,100,71,100,67,100,100,100,73,105,129,120,125,117,128,134,127,137,143,127,128,90
"Berlin","Jungrinder über 8 Monate bis 1 Jahr, männlich",NA,NA,65,139,139,106,106,148,148,168,168,130,130,145,145,120,120,80,80,125,125,112,112,62,66,36,36,39,39,58,20,20,29,29,38,38,24,24,40,40,376,376,43,43,20,20,NA,NA,NA,23,0,30,NA,19,NA,0,0,19,27,21,13,20,12,22,17,16,14,7,13,5,20
"Berlin","Jungrinder über 8 Monate bis 1 Jahr, weiblich",NA,NA,116,98,98,111,111,102,102,61,61,54,54,30,30,40,40,35,35,31,31,33,33,18,11,23,23,24,24,17,17,17,29,29,18,18,34,34,35,35,57,57,39,39,48,48,NA,NA,NA,42,0,39,NA,19,NA,0,0,34,49,29,27,22,34,22,24,25,23,31,20,16,24
"Berlin","Rinder 1 bis unter 2 Jahre, männlich",NA,NA,60,158,158,153,153,241,241,294,294,368,368,228,228,356,356,253,253,189,189,230,230,598,174,353,353,157,157,149,287,287,59,59,74,74,314,314,79,79,315,315,312,312,94,94,NA,NA,NA,27,0,33,NA,21,NA,NA,NA,NA,39,44,30,31,36,52,52,51,44,56,33,40,42
"Berlin","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6,6,2,1,1,4,4,4,4,3,3,NA,NA,46,46,6,6,4,4,NA,NA,NA,1,0,NA,NA,18,NA,NA,NA,NA,6,8,12,17,15,18,21,17,15,27,22,16,11
"Berlin","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,18,18,28,28,27,21,21,38,38,7,7,20,20,36,36,43,43,61,61,43,43,NA,NA,NA,49,0,43,NA,37,NA,0,100,32,69,71,81,72,66,78,85,73,66,97,84,65,66
"Berlin","Rinder 2 Jahre und älter, Bullen und Ochsen",NA,NA,75,92,92,129,129,171,171,383,383,281,281,235,235,222,222,193,193,329,329,73,73,52,361,49,49,28,28,9,32,32,74,74,2,2,44,44,16,16,242,242,81,81,17,17,NA,NA,NA,20,0,20,NA,7,NA,0,0,27,38,37,51,57,42,49,62,68,72,103,113,105,91
"Berlin","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,9,9,7,7,2,9,9,1,1,3,3,NA,NA,12,12,3,3,49,49,4,4,NA,NA,NA,0,0,1,NA,NA,NA,0,0,NA,1,2,2,3,3,3,4,3,3,3,7,6,3
"Berlin","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,19,14,14,33,33,23,29,29,12,12,49,49,8,8,20,20,168,168,34,34,70,70,NA,NA,NA,32,0,25,NA,23,NA,0,0,NA,35,40,37,50,44,46,58,47,47,50,88,81,51
"Berlin","Rinder 2 Jahre und älter, Milchkühe",NA,NA,4682,4051,4051,3935,3935,3910,3910,3208,3208,2526,2526,2185,2185,1694,1694,1245,1245,1008,1008,771,771,602,545,491,491,352,352,287,272,272,302,302,307,307,242,242,234,234,1919,1919,NA,NA,665,665,NA,NA,NA,126,100,134,100,123,100,NA,NA,111,133,133,125,127,127,124,131,124,129,127,116,104,107
"Berlin","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,11,11,8,8,1,NA,NA,3,3,15,15,NA,NA,7,7,23,23,NA,NA,36,36,NA,NA,NA,76,100,85,100,69,100,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berlin","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",NA,NA,271,218,218,287,287,123,123,130,130,45,45,50,50,37,37,29,29,93,93,64,64,9,75,49,49,18,18,33,45,45,43,43,43,43,50,50,79,79,50,50,214,214,35,35,NA,NA,NA,1,0,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berlin","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,153,157,160,172,179,195,223,212,245,247,290,285
"Brandenburg","Kälber bis einschließlich 8 Monate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161253,102167,96357,93700,98875,102108,95358,87800,94500,110085,110500,107688,103300,102892,96100,99500,93700,93241,99170,119890,121464,120086,117728,119903,122745,118327,117509,112165,110086,105636,103120
"Brandenburg","Jungrinder über 8 Monate bis 1 Jahr, männlich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87982,55563,51249,44890,41838,40100,35598,34000,29300,27842,25000,26117,26700,26414,26600,23100,22800,22069,23241,15745,11092,10030,10066,11314,11229,10423,10093,9939,9143,9074,10555
"Brandenburg","Jungrinder über 8 Monate bis 1 Jahr, weiblich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93387,65410,57657,58464,64982,65519,69239,64500,58000,53671,49600,51661,47800,47534,47300,47100,46600,46429,48657,35405,30216,28541,29551,29757,30547,30889,29693,28908,27438,27069,28720
"Brandenburg","Rinder 1 bis unter 2 Jahre, männlich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133646,97145,73367,63878,59564,54278,50692,43600,43400,40839,38200,36269,34200,34016,30100,25200,28700,27106,29893,28665,27354,25060,25090,26273,25579,24778,24037,23123,22061,21022,20134
"Brandenburg","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47766,27809,11815,8464,5918,5923,5067,4200,4200,4892,4200,4067,3400,3272,3500,3000,3500,2564,4915,4987,6946,7166,7430,7300,7293,7714,7588,8101,7536,7883,6263
"Brandenburg","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109907,92745,72149,78173,86545,94218,99632,98500,91600,90932,88200,85847,85800,83171,80200,80000,81500,82316,83149,84891,82473,78763,77795,80613,81895,83149,79431,78883,74236,71645,68945
"Brandenburg","Rinder 2 Jahre und älter, Bullen und Ochsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12949,7066,5048,8811,7064,8740,6078,5600,5800,5679,6200,5708,4800,5521,5000,4500,4600,4857,5675,5838,5547,5197,5071,5162,5228,5332,5361,5504,5932,6288,6087
"Brandenburg","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12460,5101,2439,1274,1156,931,688,900,1200,1356,800,1151,1200,781,700,500,600,450,887,1009,1265,1216,1165,1096,1217,1187,1244,1345,1369,1223,1183
"Brandenburg","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57699,59195,49537,45237,48714,45271,49324,51300,47100,44160,43100,38778,36400,35890,33700,31600,31500,30873,29879,28736,28187,26624,25324,25435,25661,25470,24528,24456,23336,21030,20127
"Brandenburg","Rinder 2 Jahre und älter, Milchkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328703,250834,231996,236631,226367,228044,229582,221800,210800,206441,196500,189597,182100,181472,178100,174600,167400,163674,166959,165589,158943,157576,158833,162607,163871,162798,151808,151011,148785,142554,140083
"Brandenburg","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11273,11233,29366,32499,52940,63457,72177,80200,92100,98390,100500,100538,96000,91676,91800,90500,90200,91997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandenburg","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14199,6760,3344,3411,4331,3012,3001,2000,2600,2239,1500,1968,1600,1698,1100,1400,1200,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
